ds,call_center,target
2018-01-02,Call center 1,44.0
2018-01-02,Call center 2,38464.0
2018-01-03,Call center 2,33943.0
2018-01-04,Call center 1,0.0
2018-01-04,Call center 2,33604.0
2018-01-05,Call center 2,32422.0
2018-01-06,Call center 1,160.0
2018-01-06,Call center 2,17152.0
2018-01-08,Call center 1,0.0
2018-01-08,Call center 2,38021.0
2018-01-09,Call center 2,30508.0
2018-01-10,Call center 2,29971.0
2018-01-11,Call center 2,28431.0
2018-01-12,Call center 1,0.0
2018-01-12,Call center 2,27483.0
2018-01-13,Call center 2,13279.0
2018-01-13,Call center 1,885.0
2018-01-15,Call center 2,32631.0
2018-01-16,Call center 1,0.0
2018-01-16,Call center 2,27109.0
2018-01-17,Call center 2,28060.0
2018-01-18,Call center 2,26262.0
2018-01-19,Call center 2,25502.0
2018-01-20,Call center 2,12543.0
2018-01-20,Call center 1,627.0
2018-01-22,Call center 2,31115.0
2018-01-23,Call center 1,0.0
2018-01-23,Call center 2,25577.0
2018-01-24,Call center 1,0.0
2018-01-24,Call center 2,26278.0
2018-01-25,Call center 2,24772.0
2018-01-26,Call center 2,25399.0
2018-01-27,Call center 2,14667.0
2018-01-27,Call center 1,144.0
2018-01-29,Call center 2,31928.0
2018-01-30,Call center 2,28783.0
2018-01-31,Call center 2,28593.0
2018-02-01,Call center 1,0.0
2018-02-01,Call center 2,28155.0
2018-02-02,Call center 1,0.0
2018-02-02,Call center 2,25748.0
2018-02-03,Call center 1,678.0
2018-02-03,Call center 2,13377.0
2018-02-05,Call center 2,31691.0
2018-02-06,Call center 1,0.0
2018-02-06,Call center 2,28189.0
2018-02-07,Call center 1,0.0
2018-02-07,Call center 2,28282.0
2018-02-08,Call center 2,25553.0
2018-02-08,Call center 1,0.0
2018-02-09,Call center 2,23296.0
2018-02-10,Call center 1,810.0
2018-02-10,Call center 2,12469.0
2018-02-11,Call center 3,1.0
2018-02-12,Call center 1,0.0
2018-02-12,Call center 2,28992.0
2018-02-13,Call center 2,24824.0
2018-02-13,Call center 1,0.0
2018-02-14,Call center 1,0.0
2018-02-14,Call center 2,26261.0
2018-02-15,Call center 2,29075.0
2018-02-16,Call center 2,26419.0
2018-02-17,Call center 1,1973.0
2018-02-17,Call center 2,11955.0
2018-02-19,Call center 2,32296.0
2018-02-20,Call center 2,26545.0
2018-02-21,Call center 2,27744.0
2018-02-22,Call center 2,26698.0
2018-02-23,Call center 2,25665.0
2018-02-24,Call center 1,1964.0
2018-02-24,Call center 2,12016.0
2018-02-26,Call center 2,32664.0
2018-02-27,Call center 2,27101.0
2018-02-28,Call center 1,0.0
2018-02-28,Call center 2,27944.0
2018-03-01,Call center 2,28245.0
2018-03-02,Call center 2,29064.0
2018-03-03,Call center 1,643.0
2018-03-03,Call center 2,15028.0
2018-03-05,Call center 2,36134.0
2018-03-06,Call center 1,0.0
2018-03-06,Call center 2,31371.0
2018-03-07,Call center 2,31801.0
2018-03-08,Call center 2,26994.0
2018-03-08,Call center 1,8.0
2018-03-09,Call center 2,26926.0
2018-03-10,Call center 1,711.0
2018-03-10,Call center 2,15392.0
2018-03-12,Call center 2,35628.0
2018-03-13,Call center 1,0.0
2018-03-13,Call center 2,29780.0
2018-03-14,Call center 1,23.0
2018-03-14,Call center 2,29183.0
2018-03-15,Call center 1,0.0
2018-03-15,Call center 2,28586.0
2018-03-16,Call center 2,26600.0
2018-03-17,Call center 1,688.0
2018-03-17,Call center 2,13181.0
2018-03-19,Call center 2,32906.0
2018-03-20,Call center 2,26393.0
2018-03-21,Call center 2,26983.0
2018-03-21,Call center 1,0.0
2018-03-22,Call center 2,26267.0
2018-03-23,Call center 2,25044.0
2018-03-24,Call center 1,96.0
2018-03-24,Call center 2,12481.0
2018-03-26,Call center 2,31227.0
2018-03-27,Call center 1,0.0
2018-03-27,Call center 2,28100.0
2018-03-28,Call center 2,28035.0
2018-03-29,Call center 2,27131.0
2018-03-30,Call center 1,0.0
2018-03-30,Call center 2,23123.0
2018-03-31,Call center 1,1087.0
2018-03-31,Call center 2,10672.0
2018-04-02,Call center 1,14.0
2018-04-02,Call center 2,7277.0
2018-04-03,Call center 2,37966.0
2018-04-04,Call center 2,34176.0
2018-04-05,Call center 2,29344.0
2018-04-06,Call center 2,25863.0
2018-04-07,Call center 1,97.0
2018-04-07,Call center 2,12605.0
2018-04-09,Call center 1,0.0
2018-04-09,Call center 2,33396.0
2018-04-10,Call center 1,0.0
2018-04-10,Call center 2,27997.0
2018-04-11,Call center 2,30420.0
2018-04-12,Call center 1,0.0
2018-04-12,Call center 2,26583.0
2018-04-13,Call center 2,25082.0
2018-04-14,Call center 1,716.0
2018-04-14,Call center 2,13121.0
2018-04-16,Call center 2,31410.0
2018-04-17,Call center 2,25935.0
2018-04-18,Call center 2,26195.0
2018-04-19,Call center 2,24968.0
2018-04-20,Call center 1,8.0
2018-04-20,Call center 2,22782.0
2018-04-21,Call center 1,4123.0
2018-04-21,Call center 2,7041.0
2018-04-23,Call center 2,30144.0
2018-04-24,Call center 2,26283.0
2018-04-24,Call center 1,0.0
2018-04-25,Call center 2,27467.0
2018-04-26,Call center 2,25900.0
2018-04-27,Call center 2,23771.0
2018-04-28,Call center 1,1398.0
2018-04-28,Call center 2,11464.0
2018-04-30,Call center 2,32474.0
2018-05-02,Call center 2,37772.0
2018-05-03,Call center 2,30971.0
2018-05-03,Call center 1,0.0
2018-05-04,Call center 2,28101.0
2018-05-05,Call center 1,41.0
2018-05-05,Call center 2,12781.0
2018-05-07,Call center 2,30033.0
2018-05-09,Call center 1,0.0
2018-05-09,Call center 2,35168.0
2018-05-10,Call center 1,0.0
2018-05-11,Call center 2,34654.0
2018-05-12,Call center 1,595.0
2018-05-12,Call center 2,11844.0
2018-05-14,Call center 1,0.0
2018-05-14,Call center 2,47778.0
2018-05-15,Call center 1,0.0
2018-05-15,Call center 2,36990.0
2018-05-16,Call center 2,32050.0
2018-05-17,Call center 2,27525.0
2018-05-17,Call center 1,0.0
2018-05-18,Call center 1,15.0
2018-05-18,Call center 2,24551.0
2018-05-19,Call center 1,590.0
2018-05-19,Call center 2,11245.0
2018-05-21,Call center 1,2.0
2018-05-21,Call center 2,13227.0
2018-05-22,Call center 1,31.0
2018-05-22,Call center 2,35756.0
2018-05-23,Call center 2,31133.0
2018-05-24,Call center 1,0.0
2018-05-24,Call center 2,27823.0
2018-05-25,Call center 1,34.0
2018-05-25,Call center 2,24503.0
2018-05-26,Call center 1,66.0
2018-05-26,Call center 2,12812.0
2018-05-27,Call center 1,3.0
2018-05-28,Call center 2,33564.0
2018-05-29,Call center 2,28663.0
2018-05-30,Call center 2,29916.0
2018-05-31,Call center 1,0.0
2018-05-31,Call center 2,29258.0
2018-06-01,Call center 2,26808.0
2018-06-02,Call center 1,2799.0
2018-06-02,Call center 2,10970.0
2018-06-03,Call center 1,3.0
2018-06-04,Call center 2,36286.0
2018-06-05,Call center 2,29751.0
2018-06-06,Call center 1,0.0
2018-06-06,Call center 2,30251.0
2018-06-07,Call center 1,0.0
2018-06-07,Call center 2,26718.0
2018-06-08,Call center 2,26070.0
2018-06-08,Call center 1,0.0
2018-06-09,Call center 1,1739.0
2018-06-09,Call center 2,11774.0
2018-06-11,Call center 2,34955.0
2018-06-12,Call center 2,29954.0
2018-06-13,Call center 2,30500.0
2018-06-14,Call center 1,0.0
2018-06-14,Call center 2,28372.0
2018-06-15,Call center 2,28401.0
2018-06-16,Call center 1,1843.0
2018-06-16,Call center 2,10945.0
2018-06-18,Call center 2,34057.0
2018-06-19,Call center 1,0.0
2018-06-19,Call center 2,27960.0
2018-06-20,Call center 1,0.0
2018-06-20,Call center 2,27898.0
2018-06-21,Call center 2,24765.0
2018-06-22,Call center 2,24661.0
2018-06-23,Call center 1,582.0
2018-06-23,Call center 2,12179.0
2018-06-25,Call center 2,32249.0
2018-06-26,Call center 2,25887.0
2018-06-27,Call center 2,27586.0
2018-06-28,Call center 1,0.0
2018-06-28,Call center 2,27610.0
2018-06-29,Call center 2,26164.0
2018-06-30,Call center 1,1174.0
2018-06-30,Call center 2,10785.0
2018-07-02,Call center 2,37199.0
2018-07-03,Call center 1,0.0
2018-07-03,Call center 2,30975.0
2018-07-04,Call center 2,30189.0
2018-07-05,Call center 2,30384.0
2018-07-06,Call center 2,25176.0
2018-07-06,Call center 1,0.0
2018-07-07,Call center 1,94.0
2018-07-07,Call center 2,13928.0
2018-07-09,Call center 2,40220.0
2018-07-10,Call center 2,28337.0
2018-07-11,Call center 2,29307.0
2018-07-12,Call center 2,28584.0
2018-07-13,Call center 2,24360.0
2018-07-14,Call center 3,2.0
2018-07-14,Call center 1,0.0
2018-07-16,Call center 2,35167.0
2018-07-17,Call center 3,0.0
2018-07-17,Call center 2,30200.0
2018-07-18,Call center 2,30938.0
2018-07-19,Call center 2,28810.0
2018-07-20,Call center 2,26728.0
2018-07-21,Call center 2,11910.0
2018-07-21,Call center 1,982.0
2018-07-23,Call center 2,33211.0
2018-07-24,Call center 2,26244.0
2018-07-25,Call center 1,35.0
2018-07-25,Call center 2,26292.0
2018-07-26,Call center 2,25664.0
2018-07-27,Call center 1,0.0
2018-07-27,Call center 2,24398.0
2018-07-28,Call center 1,54.0
2018-07-28,Call center 2,12575.0
2018-07-30,Call center 2,36903.0
2018-07-31,Call center 1,0.0
2018-07-31,Call center 2,28836.0
2018-08-01,Call center 2,28662.0
