week,corn_price
2013-01-06,7.794975
2013-01-13,7.8634
2013-01-20,8.23492
2013-01-27,8.18626
2013-02-03,8.31748
2013-02-10,8.15404
2013-02-17,7.88374
2013-02-24,7.85942
2013-03-03,7.95856
2013-03-10,7.97626
2013-03-17,8.14566
2013-03-24,8.30654
2013-03-31,8.24835
2013-04-07,7.27006
2013-04-14,7.3847
2013-04-21,7.46986
2013-04-28,7.31192
2013-05-05,7.73594
2013-05-12,7.53484
2013-05-19,7.67874
2013-05-26,7.7035
2013-06-02,7.8008
2013-06-09,7.80436
2013-06-16,7.68994
2013-06-23,7.91994
2013-06-30,7.53526
2013-07-07,7.01146
2013-07-14,7.20752
2013-07-21,7.02878
2013-07-28,6.7578
2013-08-04,6.58952
2013-08-11,6.39818
2013-08-18,6.43518
2013-08-25,6.64188
2013-09-01,6.7913
2013-09-08,6.58462
2013-09-15,6.5113
2013-09-22,6.36674
2013-09-29,6.33392
2013-10-06,6.15446
2013-10-13,6.16632
2013-10-20,6.16702
2013-10-27,6.15936
2013-11-03,6.00152
2013-11-10,5.92328
2013-11-17,5.99242
2013-11-24,5.8451
2013-12-01,5.86952
2013-12-08,5.94512
2013-12-15,5.9802
2013-12-22,5.88872
2013-12-29,5.92605
2014-01-05,5.81085
2014-01-12,5.81308
2014-01-19,5.89768
2014-01-26,5.86878
2014-02-02,5.93892
2014-02-09,6.07648
2014-02-16,6.0827
2014-02-23,6.21128
2014-03-02,6.22844
2014-03-09,6.55106
2014-03-16,6.55918
2014-03-23,6.53072
2014-03-30,6.62966
2014-04-06,6.79572
2014-04-13,6.79504
2014-04-20,6.775225
2014-04-27,6.76662
2014-05-04,6.86444
2014-05-11,6.87048
2014-05-18,6.60712
2014-05-25,6.37458
2014-06-01,6.31294
2014-06-08,6.13004
2014-06-15,5.97858
2014-06-22,5.9625
2014-06-29,5.94976
2014-07-06,5.60438
2014-07-13,5.31436
2014-07-20,5.14204
2014-07-27,4.95536
2014-08-03,4.94668
2014-08-10,4.9386
2014-08-17,4.9721
2014-08-24,4.956
2014-08-31,4.90448
