Date,Global_active_power,Global_reactive_power,Voltage,Global_intensity
2006-12-16,3.053,0.088,236.244,13.083
2006-12-17,2.354,0.157,240.087,9.999
2006-12-18,1.53,0.112,241.232,6.422
2006-12-19,1.157,0.105,241.999,4.926
2006-12-20,1.546,0.112,242.308,6.467
2006-12-21,1.194,0.1,241.041,5.034
2006-12-22,1.626,0.13,241.185,6.873
2006-12-23,3.315,0.154,240.136,14.028
2006-12-24,1.771,0.104,241.687,7.64
2006-12-25,1.905,0.167,243.4,7.952
2006-12-26,2.732,0.115,241.625,11.348
2006-12-27,1.062,0.124,243.767,4.517
2006-12-28,1.439,0.145,243.268,6.086
2006-12-29,2.204,0.136,240.871,9.271
2006-12-30,1.94,0.217,240.541,8.292
2006-12-31,2.427,0.105,239.897,10.2
2007-01-01,1.909,0.103,240.129,7.917
2007-01-02,1.267,0.104,240.392,5.332
2007-01-03,0.359,0.075,241.321,1.509
2007-01-04,1.935,0.141,240.024,8.149
2007-01-05,1.155,0.126,234.679,5.073
2007-01-06,0.726,0.1,235.323,3.136
2007-01-07,0.713,0.12,240.067,3.081
2007-01-08,0.747,0.1,235.009,3.253
2007-01-09,1.182,0.201,239.356,5.065
2007-01-10,1.195,0.102,239.24,5.074
2007-01-11,0.345,0.059,240.938,1.436
2007-01-12,2.177,0.201,240.266,9.192
2007-01-13,2.213,0.202,239.284,9.453
2007-01-14,2.09,0.158,238.822,8.968
2007-01-15,1.492,0.121,241.241,6.262
2007-01-16,1.171,0.129,241.945,4.976
2007-01-17,1.978,0.139,241.005,8.284
2007-01-18,1.265,0.123,240.894,5.342
2007-01-19,1.028,0.118,240.161,4.376
2007-01-20,2.176,0.166,238.867,9.348
2007-01-21,2.366,0.16,238.968,10.191
2007-01-22,1.514,0.117,241.603,6.355
2007-01-23,1.234,0.096,242.763,5.261
2007-01-24,2.075,0.124,241.458,8.734
2007-01-25,1.109,0.1,243.424,4.629
2007-01-26,1.124,0.099,242.772,4.721
2007-01-27,1.419,0.103,241.617,5.95
2007-01-28,2.147,0.107,240.305,9.134
2007-01-29,1.377,0.115,240.93,5.789
2007-01-30,1.186,0.126,241.841,5.028
2007-01-31,1.641,0.129,239.921,6.924
2007-02-01,0.881,0.132,241.944,3.714
2007-02-02,1.158,0.097,240.334,4.871
2007-02-03,0.358,0.074,240.592,1.507
2007-02-04,1.362,0.121,240.46,5.713
2007-02-05,0.697,0.111,235.582,3.142
2007-02-06,1.031,0.115,234.469,4.474
2007-02-07,0.672,0.123,240.672,2.928
2007-02-08,0.708,0.101,234.857,3.087
2007-02-09,1.154,0.161,240.045,5.017
2007-02-10,1.527,0.112,238.494,6.474
2007-02-11,1.003,0.065,239.349,4.203
2007-02-12,2.046,0.226,240.73,8.619
2007-02-13,0.982,0.094,241.167,4.144
2007-02-14,1.735,0.141,240.375,7.315
2007-02-15,1.379,0.115,240.669,5.82
2007-02-16,1.182,0.105,240.821,5.047
2007-02-17,1.442,0.166,239.316,6.129
2007-02-18,2.66,0.177,239.171,11.239
2007-02-19,1.518,0.123,239.79,6.442
2007-02-20,2.187,0.13,239.865,9.168
2007-02-21,1.439,0.132,240.461,6.074
2007-02-22,2.343,0.096,238.624,9.871
2007-02-23,0.912,0.104,240.686,3.825
2007-02-24,0.496,0.085,239.863,2.086
2007-02-25,0.348,0.079,241.682,1.462
2007-02-26,0.395,0.075,241.274,1.659
2007-02-27,0.36,0.079,242.944,1.525
2007-02-28,0.362,0.079,242.16,1.528
2007-03-01,0.704,0.137,243.557,3.014
2007-03-02,2.798,0.171,238.91,11.816
2007-03-03,0.569,0.094,241.288,2.401
2007-03-04,1.141,0.117,240.505,4.846
2007-03-05,0.757,0.105,235.135,3.308
2007-03-06,1.464,0.127,234.762,6.353
2007-03-07,0.736,0.125,240.187,3.231
2007-03-08,0.738,0.087,234.486,3.207
2007-03-09,0.721,0.131,239.62,3.131
2007-03-10,0.889,0.11,239.261,3.8
2007-03-11,0.342,0.061,240.191,1.434
2007-03-12,1.224,0.092,241.08,5.166
2007-03-13,0.896,0.088,240.898,3.806
2007-03-14,1.245,0.109,240.777,5.267
2007-03-15,1.309,0.111,240.28,5.523
2007-03-16,1.182,0.09,239.527,4.992
2007-03-17,1.408,0.088,238.225,5.946
2007-03-18,1.647,0.168,241.048,7.008
2007-03-19,1.495,0.101,240.497,6.282
2007-03-20,1.449,0.114,240.816,6.151
2007-03-21,1.488,0.099,240.987,6.237
2007-03-22,1.01,0.079,241.764,4.223
2007-03-23,0.909,0.083,241.645,3.804
2007-03-24,2.061,0.133,239.704,8.703
2007-03-25,2.318,0.164,240.033,9.722
2007-03-26,0.983,0.112,241.337,4.183
2007-03-27,0.767,0.105,240.602,3.297
2007-03-28,1.621,0.136,240.445,6.855
2007-03-29,1.104,0.138,240.537,4.677
